fsd_no;fsd_vr;fsd_id;t1;t2;t3;t4;t5;t6;t7;t8;t9a;t9b;t9c;t9d;t10;t11;t12;t13;t14;l1;l2;l3;l4;l5;l6;l7;l8;l9;l10;l11;l12;l13;l14;l15;l16;l17;k1;k2;k3;k4;k5;k6;k7;k8;k9;k10;k11;k12;k13;k14;k15;k16;k17;k18;k19;k20;k21;k22;k23;k24;k25;k26;k27;k28;k29;k30;k31;k32;k33;k34;k35;k36;k37;k38;k39;k40;k41;k42;k43;k44;k45;k46;k47;k48;k49;k50;k51;k52;k53;k54;k55;k56;k57;k58;k59;k60;k61;k62;k63;k64;k65;k66;k67;k68;k69;k70;k71;k72;k73;k74;k75;k76;k77;k78;k79;k80;k82;k83;k84;k85;k86;k87;k88;k89;k90;k91;k92;k93;k94;k95;k96;k97;k98;k99;k100;k101;k102;ktu1;ktu2_1;ktu2_2;ktu2_3;ktu3;ktu4;koulu1;koulu2;koulu3;koulu4;koulu5_1;koulu5_2;koulu5_3;koulu5_4;koulu5_5;koulu6_1;koulu6_2;koulu6_3;koulu6_4;koulu6_5;koulu7_1;koulu7_2;koulu7_3;koulu7_4;koulu7_5;koulu7_6;koulu7_7;koulu7_8;koulu7_9;koulu8;koulu9;koulu10;koulu11;koulu12;koulu13;koulu14;koulu15;koulu16;koulu17;koulu18;koulu19;koulu20;koulu21;koulu22;koulu23;koulu24;koulu25;koulu26;koulu27;koulu28;ktu12_1;ktu12_2;ktu13;ktu14;ktu15;ktu16a;ktu16b;ktu16c;ktu16d;ktu16e;ktu16f;ktu16g;ktu16h;ktu16i;ktu16j;ktu16k;ktu17_1;ktu17_2;ktu18_1;ktu18_2;ktu19;ktu20;ktu21;ktu22;ktu23;ktu24;ktu25;ktu26;ktu27;ktu28;ktu29;ktu2829;ktu30;ktu31a_1;ktu31a_2;ktu31a_3;ktu31a_4;ktu31a_5;ktu31a_6;ktu31a_7;ktu31a_8;ktu31a_9;ktu31a10;ktu31a11;ktu31a12;ktu31a13;ktu31a14;ktu31a15;ktu31a16;ktu31a17;ktu31a18;ktu31a19;ktu31a20;ktu31a21;ktu31a22;ktu31a23;ktu31a24;ktu31a25;ktu31a26;ktu31a27;ktu31a28;ktu31a29;ktu31b_1;ktu31b_2;ktu31b_3;ktu31b_4;ktu31b_5;ktu31b_6;ktu31b_7;ktu31b_8;ktu31b_9;ktu31b10;ktu31b11;ktu32;ktu33_1;ktu33_2;ktu34_1;ktu34_2;ktu35;ktu36;ktu37;ktu37_6;ktu37_45;ktu38_1;ktu38_2;ktu39;ktu40;ktu41;ktu42;ktu43;ktu44;ktu45;ktu46;ktu47;ktu48;ktu49;ktu50;ktu51;ktu52;ktu53;ktu54;ktu55_1;ktu55_2;ktu55_3;ktu55_4;ktu55_5;ktu55_6;ktu55_7;ktu55_8;ktu55_9;ktu55_10;ktu55_11;ktu55_12;ktu55_13;ktu56;ktu57;ktu58;ktu59;ktu60;ktu61;ktu62;ktu63;ktu64;ktu65;ktu66;ktu67;ktu68;ktu69;ktu70;ktu71;ktu72;ktu73;ktu74;ktu75;ktu76;ktu77;ktu78;ktu79;ktu80;ktu81;ktu82;ktu83;ktu84;ktu85;ktu86;ktu87;ktu88;ktu89;ktu90;ktu90_1;ek1;ek2_1;ek2_2;ek3;ek4;ek5;ek6_1;ek6_2;ek6_3;ek6_4;ek6_5;ek6_6;ek6_7;ek7_1;ek7_2;ek7_3;ek7_4;ek7_5;ek7_6;ek7_7;ek8;ek9;ek10;ek11;ek12;ek13;ek14;ek15;ek16;ek17;ek18;ek19;ek20;ek21;ek22;ek23;ek24_1;ek24_2;ek24_3;ek25;ek26;ek27;ek28;ek29;ek30_1;ek31_1;ek32_1;ek33_1;ek34_1;ek35_1;ek36_1;ek37_1;ek38_1;ek39_1;ek40_1;ek41_1;ek42_1;ek43_1;ek44_1;ek45_1;ek46_1;ek47_1;ek48_1;ek49_1;ek50_1;ek51_1;ek31_2;ek32_2;ek33_2;ek34_2;ek35_2;ek36_2;ek37_2;ek38_2;ek39_2;ek40_2;ek41_2;ek42_2;ek43_2;ek44_2;ek45_2;ek46_2;ek47_2;ek48_2;ek49_2;ek50_2;ek51_2;ek52;ek53;ek54;ek55;ek56;ek57;ek58;ek59;ek60;ek61;ek62;ek63;ek64;ek65;ek66;ek67;ek68;ek69;ek70;ek71;ek72;ek73;ek74;ek75;ek76;ek77;ek78;ek79;ek80;ek81;ek82;ek83;ek84;ek85;ek86;ek87;ek88;ek89;ek90;ek91;ek92;ek93;ek94;ek95;ek96;ek97;ek98;ek99;ek100;ek101;ek102;ek103a_1;ek103a_2;ek103b_1;ek103b_2;ek103c_1;ek103c_2;ek104;bv1_1;bv1_2;bv2_1;bv2_2;bv3;bv4_1;bv4_2;bv4_3;bv5_1;bv5_2;bv5_3
2076;2;118;5;1967;1;0;0;1; ; ;3;4;5;3;2264,31405395132; ;1902,54182413261; ;3;4;0;0;40;35;34;34;44;37;41;36;43;38;46;35;40;40; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;9;8,89999997615816;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;2;1;2;4;36;1;1;2;7;1;5;2;1; ; ; ; ; ;7;1;5;2;1;5;Teol. yo;1;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1988;0;0;0;1;4;34;2;4;3;1;3;2;1;3;3;2;2;4;3;1;5; ; ;70; ; ; ; ; ; ; ; ; ;0;4;2;1;1; ;0;0; ; ; ; ; ; ;2;5;11;1;0;0;2;1;2;0;0;21; ;24; ; ;17; ;24;3;3;3;8;3;3;3;3; ; ; ;252,281889692267;2;148,00537528613;2;33,6375852923022;3;1;4;0;1;1;0;2;2;2;2;1;2;2;2;2;1;1;1;3;2;1;2;1;1;0;1;1;0;0;1;0;1;0;0;0;2;2;3;2;2;2;3;2;2;2;2;3;2;5;4;3;2;4;2;2;3;4;4;2;3;2;2;4;5;1;3;3;2;1; ; ;3;1;120;4;3;2;7;8;8; ; ; ;1;0;1;0;0;0;0;0;3;3;2;1;1;2;4;2;2;2;3;4;3;2;4;2;1; ; ;2;4;2;1;1;2;2;1;2;2; ;1; ;3;3;2;3;2;1;2;2;2;2;4;4;4; ;2;2;3;3; ;2; ;3;3;2;3;1;2;2;3;2;2;3;3;3; ;2;4;2;2;4;3;3; ;2;4;2;2;2;3;4;3;2;1;1;1;2;4;2;4;4;2;2;3;2;4;4;2;2;3;2;1;2;2;2;2;1;1;2;2;2;2;3;2;3;2;1;22;26;23;21;23;51;13; ; ;3;2;1;21886,6312462894; ; ;1;1;1
2076;2;119;6;1967;1;0;1;2; ; ; ; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;1;86;4;2;3;7;8;3; ; ; ;1;0;1;0;0;0;0;0;2;2;2;2;2;5;2;1;1;1;2;2;2;1;5;2;1; ; ;3;5;5;1;1;2;2;1;2;2;3;2;3;2;2;2;2;3;1;2;2;2;2;4;3;3; ;1;1;2;2;3;1;3;3;2;2;2;2;1;2;2;2;3;3;2;2; ;2;4;1;2;5;1;1;1;2;4;1;1;2;5;5;2;5;5;3;1;2;4;1;5;5;5;1;4;2;4;1;4;4;5;1;2;1;1;1;1;1;2;1;1;1;1;2;2;2;2;1;13;26;15;14;32;11;21;4;42;4;0;3;23712,48; ; ;0;0;1
2076;2;120;10;1967;2;0;0;1; ; ;3;7;3;4;2147,75982091349;6393,32764858142;2011,52760047967;9298,26951442464;2;4;0;0;37;43;32;37;42;47;40;32;43;30;36;26;40;41; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7;6,69999998807905;4;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;24; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;52; ; ;4;16033,0186537229; ;8342,12115249095;1;0;0
2076;2;121;9;1967;2;0;3;2;1;2;2;5;2;3;3094,6578468918;11620,1038392258; ;1504,10462634529;3;4;0;0;25;34;33;32;34;37;32;43;34;33;34;33;32;32;3;6;7;7;7;8;7;8;7;8;7;6;8;8;8;7;8;7;7;7;7;2;7;2;8;2;8;1;7;1;6;1;6;7;7;7;7;8;6;6;7;6;7;1;6;2;6;2;7;7;7;7;7;7;7;8;7;7;9;7;8; ;6;7;6;9;7;7;7; ;7,09999996423721;7,09999996423721;7,39999997615816;7,79999995231626; ; ;7,79999995231626; ; ;7,5;8; ;8;8;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;3;3;,666666666666667;2;4;28;1;3;2;3;6;1;3;1;3;8;4;1;1;3;6;1;3;1;3;Hammashoitaja;0;20;1;0;0;0;0;0;0;0;0;0;1989;0;0;0;0;0;0;0;1;1;0;12;44;4;3;0;2;1;4;2;1;2;2;4;4;1;3;1; ;12;44;2;3;2;2;4;4;1;5;5;0; ;1;2;1;2;0;0;30;20; ; ;30;20;3;2;0;2;1;1;3;0;2;0;0;20;22;23; ; ;17;22;24;2;1;2;2;3;3;1;1; ; ; ;807,302047015253;1;0;1;0;4;1;4;0;1;1;0;2;4;2;2;3;1;1;2;2;1;2;4;2;3;1;2;1;0;1;0;0;0;0;0;0;1;0;0;0; ;3;2; ;3; ;4;2;3;2;3;5;2;5;4;5;5;5;4;5;1;5;5;4;1;1;5;2;5;1;2; ;3;4; ; ;2;1;82;4;1;1;3;7;7; ;6;7;2;0;0;0;0;1;0;1;3;3;1;4;1;1;5;5;3;4;5;5;1;3;2;1;1; ; ;2;4;1;1;1;1;1;1;3;1;2;2;3;4;2;3;4;2;1;2;2;2;3;3;3;1; ;1;1;2;2;2;3;3;3;2;3;3;3;1;1;1;2;3;3;3;1; ;4;5;1;1;4;2;2;1;1;4;1;1;2;4;5;1;5;1;1;1;2;2;1;5;2;2;1;2;1;3;4;1;1;3;1;2;3;1;1;1;3;3;3;2;2;1;2;2;2;3;1;22;13;14;15;55;41;12;3;32;3;6;4;11120,7538855616; ;17239,2624623049;1;1;1
2076;2;122;9;1967;2;0;3;2;1;2;2;5;2;3;3094,6578468918;11620,1038392258; ;1504,10462634529;3;4;0;0;33;45;27;33;40;37;30;29;32;35;32;35;32;33;3;6;8;7;7;8;7;7;7;7;7;7;7;7;8;7;8;7;7;6;7;2;8;2;8;2;7;1;8;1;6;1;6;7;7;7;6;7;6;6;7;6;7;1;7;2;7;2;7;7;6;6; ;6;6;7;7;7;7;8;6;7;6;6;7;6;8;7;7; ;6,89999997615816;7,19999998807905;7,19999998807905;7,09999996423721; ; ;7,39999997615816; ; ;7,09999996423721;7,69999998807905; ;4;0;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;3;,666666666666667;4;4;27;1;1;1;4;3;1;2;4; ; ; ; ; ;4;3;1;2;4;5;Merkonomi;0;17;0;1;0;0;0;0;0;0;0;0;0;0;1987;0;0;0;0;0;0;0;0;24;42;2;4;3;2;3;3;2;2;2;1;2;2;3;2;1; ;24;43;2;2;3;2;2;4;4;5;4;1;24;1;2;1;1;0;0;46; ; ; ;46;46;0;2;0;2;0;0;1;1;1;0;0;17;20;22; ; ;20;20;24; ;3;3;3;1;1;1;1;1; ; ;840,939632307555;1;0;1;0;4;1;4;1; ;1;0;2;5;2;2;1;1;1;1;2;1;2;3;2;2;2;1;1;0;1;0;0;0;0;0;0;1;0;0;0;2;2;2;1;3;2;4;2;3;2;3;4;2;4;3;2;4;4;4;4;2;3;3;4;3;4;3;4;4;1;2;5;3;3; ; ;3;1;110;2;2;2;5;3;3; ; ; ;1;0;1;1;0;0;1;0;3;2;2;1;1;2;5;5;4;4;5;2;2;3;4;4;1; ; ;2;4;1;1;1;2;2;1;2;1;1;1;4;4;2;4;3;3;4;2;2;3;1;3;3;4; ;1;1;2;2;2;2;3;3;2;3;2;3;3;3;2;3;2;3;3;3; ;2;1;1;4;2;5;4;2;2;2;4;4;2;2;4;4;4;4;4;4;4;2;4;4;2;1;4;4;2;3;4;2;5;4;1;2;1;2;1;1;1;1;2;1;2;1;2;1;3;3;1;22;23; ; ; ;14;14;4;41;4;3;5;19845,17; ;17407,45;1;1;1
2076;2;123;10;1967;2;0;3;3;1;2;2;5; ; ;1422,86985786438;7519,68219209416; ;4036,00567129688;2;4;0;0;36;32;45;42;47;42;42;37;38;33;32;33;41;43;1;8;8;8;8;8;7;7;7;8;8;8;8;8;7;8;7;8;7;7;8;2;8;2;9;2;8;1;8;1;7;1;6;8;8;7;7;6;8;7;8;8;7;1;6;2;8;2;8;8;7;7; ;7;7;9;9;9;8;9;7;7;8;8;8;9;7;7;7;7,89999997615816;8;8,09999990463258;8,09999990463258; ;7,59999996423721;7,79999995231626;7,29999995231626; ; ; ;7,59999996423721; ;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;2;4;27;2;2;1;4;3;1;2;1;3;3;1;1;4;4;3;1;2;1;5;Merkonomi;0;23;1;0;0;0;0;0;0;0;0;0;1985;0;0;0;0;0;0;0;1;0;0;24;42;2;4;3;2;1;4;4;1;3;1;3;4;1;3;1;5;24;43;2;5;1;3;3;1;5;5;4;0;30;2;3;1;4;0;0;12;12;30;24;30;12;0;2;5;3;0;1;2;0;3;0;0;16;17; ; ; ;17;18;24;3;2;1;2;3;4;1;1;1; ; ;740,026876430649;2;50,4563779384533;1;0;4;1;3;0;0;1;0;2;4;2;2;1;1;1;1;2;2;2;2;2;2;2;1;1;0;0;0;1;0;0;0;0;0;0;0;0;2;2;2;3;2;2;4;2;1;2;3;3;2;5;5;1;4;4;4;3;1;4;4;3;1;2;1;3;4;2;4;1;3;3; ; ;3;1;120;1;3;3;5;3;3; ; ; ;2;0;0;0;0;0;1;0;2;3;1;6;1;5;4;1;2;2;4;4;3;2;4;3;1; ; ;2;4;3;1;1;2;1;1;2;2;1;3;4;3;3;3;4;3;2;2;2;3;2;4;4;3; ;2;1;2;2;2;2;3;3;2;3;3;2;2;2;1;3;2;3;2;2; ;2;2;1;1;5;2;2;2;2;4;2;2;3;4;4; ;4;2;1;2;4;3;2;3;4;3;1;3;3;3;4;3;4;3;1;2;1;1;1;1;2;2;3;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;1;14105,92; ; ;1;1;1
2076;2;124;10;1967;2;0;1;2;1; ; ; ; ; ; ; ; ; ;3;4;0;0;37;42;39;47;41;40;32;36;41;36;48;40;42;41; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7,79999995231626;7,39999997615816;3;3;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;1;3;,666666666666667;1;4;36;2;2;2;3;3;1;1;2;3;4;5;2;1;3;3;1;1;2;3;Merkantti;0;19;1;0;0;0;0;0;0;0;0;0;1988;1985;0;0;0;0;0;0;0;0;0;24;43;2;2;2;1;3;2;3;2;2;1;2;3;1;3;1; ;92;54;0;5;1;5;5;5;5;5;2;0;30;2;3;1;2;0;0;12;36; ; ;36;12;0;4;10;4;0;0;3;0;0;0;0;16;18;21; ; ;18; ;24;3;3;1;3;3;1;1;1; ; ; ;672,751705846044;1;0;1;0;3;1;4;0;3;1;0;2;4;2;2;2;2;2;2;2;3;2;2;2;2;3;1;0;0;1;0;1;0;0;0;0;1;0;0;0;2;3;2;1;3;3;4;3;4;4;3;1;1;4;5;2;4;4;4;4;2;4;4;2;2;3;2;4;5;2;4;2;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;51;3;3;1;22639,1040292782; ; ;1;1;0
2076;2;125;8;1967;2;0;1;2; ; ;3;4;2;3;3484,85383628251;8282,07806274419;1431,27925418746;7942,67482714486;3;4;0;1;40;45;49;41;28;39;49;42;44;44;48;40;47;47; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8,69999992847442;8,69999992847442;1;1;1;7;7;7;7;9; ;8,1;8,1;6;4;2;4;4; ;20;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;24; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;1;224;4;3;2;6;1;1; ; ; ;1;0;1;0;1;0;0;0;3;2;2;1;1;1;5;2;2;2;5;4;1;2;5;2;1; ; ;2;4;3;1;1;2;1;1;3;2;2;1;4;4;3;4;4;3;3;3;2;3;4;4;4;4; ;2;1;2;2;2;2;3;3;2;3;3;2;2;2;2;2;3;3;3;3; ;2;2;2;1;5;2;2;2;2;4;2;2;2;4;4;2;5;2;2;2;2;2;2;4;4;4;2;4;2;4;4;2;2;4;2;2;1;1;1;1;1;2;2;2;1;1;2;2;2;2;2;22; ;21;21;11;14; ;2;23;6;2;4;10354,49; ;1530,51;1;0;1
2076;2;126;8;1967;2;0;0;1; ;2;3;4;9;9;1125,17722802751;8021,05040087592; ; ;2;4;0;0;32;34;33;28;32;40;37;42;39;36;34;40;35;35;4;6;7;7;8;8;7;7;8;7;7;7;7;8;8;8;8;7;7;6;6;2;6;2;7;2;7;1;8;1;7;1;7;7;7;8;8;8;7;8;8;7;7;1;7;1;6;1;6;8;8;8; ;7;8;7;8;9;8;9;9;8;7;5;7;8;8;8;8;7;7,5;7,59999996423721;7,59999996423721;7,69999998807905;7,89999997615816;7,89999997615816;7,79999995231626; ;7,59999996423721;7,59999996423721;7,29999995231626; ;3;0;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;2;4;,5;2;5;36;1;1;1;4;4;7;6;3; ; ; ; ; ;4;4;7;6;3;3;Vaatturi;0;22;0;1;0;0;0;0;0;0;0;0;1989;0;0;0;0;0;0;0;0;1;0;71;53;4;4;0;1;2;2;1;2;3;2; ;4;1;3;5; ; ;70; ; ; ; ; ; ; ; ; ;0;7;2;2; ; ; ; ; ; ; ; ; ; ; ;5;11;1; ; ;2;0;0;0;0;18;21;20; ; ; ; ;24; ; ; ;3;3;3;3;3; ; ; ;336,375852923022;2; ;1;0;4;1;4;0;4;1;0;2;4;2;2;1;1;1;1;1;2;2;3;4;3;1;1;0;0;0;1;0;0;1;0;0;1;0;1;0;2;3;2;2;2;1;3;2;2;1;3;1;2;5;5;2;5;5;4;5;3;5;5;5;2;2;2;3;3;1; ;5;1;3; ; ;2;1;100;4;2;3;3;5;5; ; ; ;1;0;1;0;0;0;0;0;1;3;1;6;2;5;3;5;3;5;5;5;5;5;3;5;1; ; ;1;3;0;1;1;3;1;1;3;1;2;4;4;4;3;4;4;2;4;3;2;3;4;4;2;3; ;1;1;3;1;2;3;3;3;3;3;3;2;3;2;2;2;3;3;1;2; ;2;2;1;1;4;1;4;4;2;2;1;1;1;2;3;1; ; ; ;1; ;5;4;5;2;1;4;3;4;5;5;5;4;2;1;1;1;1;1;1;2;2;1;2;2;1;2;2;2;2;2;22; ; ;23; ; ;13;7;74;4;4;4;16489,8170619924; ; ;1;1;1
2076;2;127;8;1967;2;0;1;2; ;2;4;4;4;3;3452,89813025482;12095,5711073325;2203,2618366458;8204,54342864543;2;4;0;0;36;39;40;41;37;41;40;43;44;39;36;28;42;43;1;8;8;9;8;8;8;8;8;8;7;8;8;8;8;8;8;8;8;8;8;1;8;1;8;1;7;1;8;1;8;1;9;9;9;8;9;9;8;7;8;8;8;1;8;1;7;1;7;8;9;9;8;8;8;9;9;8;8;9;9;8;9;8;9;9;8;8;8;7,69999998807905;7,79999995231626;8,39999997615816;8,29999995231626; ;8,19999992847442;8,19999992847442;8,19999992847442; ; ; ;8,5;8,19999992847442;1;1;1;7;7;5;8;8; ;7,8;7,7;5;4;4;3;4;3;23;4;2;4;2;1;2;4;18;3;2;2;5;4;4;8;1;3;4;3;4;2;5;4;4;8;1;3;Rakennusark. yo;1;19;1;0;0;0;0;0;0;0;0;0;1987;0;0;0;0;0;0;0;1;0;0;0;32;2;5;4;2;2;3;3;1;2;1;3;4;1;3;5;1;0;32;2;3;5;1;1;5;4;5;4;1;0;1;1;1;2;0;0;12;12; ; ;12;12;0;3;11;1;0;0;3;1;1;0;1;19;20;21; ; ;20; ;24;3;3;3;3;1;3;1;3;3; ; ;840,939632307555;2;151,36913381536;2;84,0939632307555;2;1;3;0;0;1;0;2;4;2;2;1;2;2;2;1;3;1;1;1;2;2;2;1;0;1;0;0;1;1;1;0;0;0;0;0;2;2;3;2;3;3;1;2;1;2;3;4;2;4;5;1;5;5;4;5;1;4;4;2;2;1;1;3;5;1;1;1;1;1; ; ;1;2;56,5;4;2;1;6;5;5; ; ; ;3;0;1;0;0;0;0;0;3;1;1;1;5;5;2;2;2;2;4;2;1;2;3;3;1; ; ;1;3;0;1;1;1;1;1;3;2;2;3;4;3;3;4;4;3;3;2;1;4;2;4;3;4; ;1;1;2;2;2;3;3;3;2;3;3;2;2;2;1;3;2;3;2;3; ;2;4;2;1;3;2;2;2;1;3;3;3;3;4;3;2;4;3;2;2;3;2;2;3;4;3;2;3;2;3;3;1;4;3;2;2;2;1;1;1;2;2;2;2;2;1;2;2;2;2;2;22;25;11;31;23;23;13; ; ;6;4;2;9745,64939881226; ; ;1;1;1
